Class,Name,Blue,Green,Red,InfraRed,X,Y
1,corn,72,92,88,183,546221.7991,3860329.23
1,corn,63,73,76,171,546231.5016,3860386.135
1,corn,79,99,99,210,546306.3753,3860404.62
4,wheat,140,147,124,171,547398.9495,3859786.995
4,wheat,140,147,123,173,547474.8743,3859766.951
4,wheat,137,144,121,181,547364.6483,3859729.149
4,wheat,151,151,123,193,547486.3277,3859796.282
4,wheat,134,144,119,176,547454.8709,3859790.98
4,wheat,134,141,121,172,547525.5806,3859739.01
4,wheat,136,144,122,173,547401.2512,3859782.163
4,wheat,129,137,116,175,547443.3123,3859779.181
4,wheat,131,138,118,166,547401.7459,3859798.187
4,wheat,128,141,121,184,547480.5075,3859800.156
4,wheat,132,153,129,178,547431.6709,3859724.191
4,wheat,135,142,122,172,547435.2474,3859795.65
4,wheat,137,146,127,183,547383.9897,3859730.561
4,wheat,139,145,124,176,547429.1238,3859800.281
4,wheat,132,143,120,172,547521.0401,3859740.008
4,wheat,141,148,125,176,547423.4948,3859739.303
4,wheat,131,140,116,173,547360.952,3859779.342
4,wheat,130,142,119,171,547505.4059,3859753.212
4,wheat,131,142,117,173,547375.0051,3859796.242
4,wheat,140,146,122,173,547408.452,3859734.304
4,wheat,141,141,115,172,547491.6763,3859766.156
4,wheat,137,144,122,172,547413.2614,3859767.351
4,wheat,139,148,124,172,547465.4216,3859743.393
4,wheat,130,141,116,166,547503.9737,3859741.337
4,wheat,134,144,121,171,547446.1332,3859766.119
4,wheat,130,141,117,170,547381.0686,3859732.375
4,wheat,130,141,117,171,547359.6593,3859751.455
4,wheat,135,134,112,166,547456.8683,3859776.486
4,wheat,137,147,116,161,547492.9261,3859732.037
4,wheat,141,145,124,179,547366.3745,3859739.266
4,wheat,141,148,124,176,547457.4465,3859754.371
4,wheat,136,142,119,169,547434.1293,3859748.297
4,wheat,136,145,122,173,547404.2158,3859765.674
4,wheat,129,138,114,173,547361.1744,3859779.927
4,wheat,190,200,199,209,547473.1608,3859784.136
4,wheat,131,142,119,175,547452.3912,3859777.106
4,wheat,136,147,121,177,547434.4761,3859728.398
4,wheat,139,147,122,172,547408.1115,3859751.141
4,wheat,132,144,120,175,547422.4499,3859773.986
4,wheat,132,139,116,174,547453.0012,3859799.59
4,wheat,125,142,121,176,547381.4029,3859729.44
4,wheat,130,138,117,169,547318.0498,3859759.431
4,wheat,140,147,123,169,547387.1504,3859752.798
4,wheat,132,140,117,169,547500.1646,3859751.16
4,wheat,147,154,138,186,547418.5685,3859730.337
4,wheat,147,153,130,175,547467.2442,3859765.649
4,wheat,140,149,125,171,547468.2134,3859748.229
4,wheat,123,150,122,185,547390.4337,3859727.092
4,wheat,135,134,113,173,547402.865,3859821.115
4,wheat,136,136,112,163,547510.4916,3859748.348
4,wheat,132,142,119,174,547376.0895,3859765.099
4,wheat,146,135,109,158,547473.5917,3859790.895
4,wheat,133,140,116,169,547474.7971,3859778.782
4,wheat,133,144,131,203,547491.0186,3859793.014
4,wheat,147,158,130,176,547416.5784,3859733.557
4,wheat,189,195,169,192,547471.9725,3859787.66
4,wheat,139,147,123,172,547417.2723,3859747.466
4,wheat,130,139,117,171,547507.4287,3859761.06
4,wheat,138,144,121,176,547478.7409,3859796.732
4,wheat,133,142,119,175,547368.6617,3859773.368
4,wheat,139,147,120,174,547373.1558,3859761.357
4,wheat,142,150,126,174,547397.9957,3859810.781
4,wheat,134,144,120,171,547398.7857,3859782.556
4,wheat,131,140,117,173,547454.1565,3859800.127
4,wheat,134,142,120,173,547351.4629,3859741.598
4,wheat,137,146,120,172,547512.6793,3859746.642
4,wheat,131,157,137,188,547488.7168,3859798.415
4,wheat,137,143,120,171,547438.1955,3859746.955
4,wheat,140,153,127,182,547396.2313,3859735.056
4,wheat,138,149,125,174,547488.4642,3859761.275
4,wheat,136,145,123,174,547418.9687,3859807.458
4,wheat,158,182,146,202,547460.6202,3859729.647
